NN_absorption	NN_adsorption
NN_algae	algae
JJ_blue-green	NP_blue-green
JJ_blue-green NN_algae	NP_blue-green algae
JJ_blue-green NN_algae	blue-green-algae
NP_blue-green algae	blue-green-algae
JJ_brown NN_alga	JJ_brown NN_algae
NN_algae	NN_alga
cyanobacteria	cyanobacterial
JJ_delta	NN_delta
JJ_delta	NP_delta
JJ_green	NP_green
JJ_green NN_alga	JJ_green NN_algae
NN_algae	NN_alga
JJ_green NN_alga	NP_green algae
JJ_green NN_algae	NP_green algae
JJ_green NN_algae	green-algae
NP_green algae	green-algae
JJ_juvenile	NN_juvenile
NN_lake	NP_lake
macroalga	macroalgae
macroalga	macroalgal
macroalgae	macroalgal
macroalgae	microalgae
macroalgal	microalgal
macrophyte	macrophytes
JJ_marine	NP_marine
microalgae	microalgal
microcystin	microcystins
microcystin	microcystis
microcystins	microcystis
photosystem PP_i	photosystem NP_ii
PP_i	NP_ii
JJ_red NN_alga	JJ_red NN_algae
NN_algae	NN_alga
NN_river	NP_river
NN_substratum	NN_substrate
JJ_unicellular JJ_green NN_alga	JJ_unicellular JJ_green NN_algae
NN_algae	NN_alga
NN_alga	alga
NN_alga chlorella	NN_algae chlorella
NN_alga scenedesmus	NN_algae scenedesmus
NN_alga ulva	NN_algae ulva
NN_algae NN_bloom	JJ_algal NN_bloom
JJ_algal	NN_algae
NN_algae NN_cell	JJ_algal NN_cell
JJ_algal	NN_algae
NN_algae NN_specie	JJ_algal NN_specie
JJ_algal	NN_algae
NN_algae NN_specie	JJ_algal NN_species
JJ_algal	algal
JJ_algal NN_specie	JJ_algal NN_species
JJ_amphipod	NN_amphipod
JJ_antarctic	NP_antarctic
JJ_antarctic	NP_antarctica
NP_antarctic	NP_antarctica
JJ_artificial NN_substratum	JJ_artificial NN_substrate
NP_australia	JJ_australian
NP_australia	australis
JJ_baltic	NP_baltic
NN_basin	NP_basin
NN_bay	NP_bay
JJ_benthic macroalgae	JJ_benthic microalgae
macroalgae	microalgae
