mass-spectrometry	NN_mass NN_spectrometry
pharmacokinetic	pharmacokinetics
dna	NN_dna
NN_bacillus thuringiensis	bacillus-thuringiensis
NN_species	NN_specie
escherichia NN_coli	escherichia-coli
NN_gene NN_expression	gene-expression
NN_behaviour	NN_behavior
JJ_novel NN_food	NN_novel NN_food
NN_mycotoxin	mycotoxin
NN_rat	rats
probiotic	probiotics
JJ_lactic NN_acid	lactic-acid
NN_means	NN_mean
NN_lung-cancer	NN_lung NN_cancer
NN_phase	phase
ms	NN_ms
enterotoxin	enterotoxins
NP_drug NP_administration NN_approval	NP_drug administration-approved
NP_drug NP_administration	NN_drug NN_administration
NN_data	NN_datum
JJ_animal NN_model	NN_animal NN_model
NN_toxicology	toxicology
NN_novel NN_approach	JJ_novel NN_approach
NN_characterization	NN_characterisation
NN_body NN_weight	body-weight
NN_heavy-metal	JJ_heavy NN_metal
NN_breast-cancer	NN_breast NN_cancer
NP_administration NN_approval	administration-approved
saccharomyces-cerevisiae	saccharomyces cerevisiae
gel-electrophoresis	NN_gel electrophoresis
phase-i	phase-ii
NN_high-dose	JJ_high NN_dose
JJ_human CC_and JJ_animal	NN_human CC_and NN_animal
NP_united NP_states	united-states
NN_low-dose	JJ_low NN_dose
NN_risk-assessment	NN_risk NN_assessment
phase-i NN_trial	phase-ii NN_trial
toxicity	NN_toxicity
NN_tree NN_specie	NN_tree NN_species
macroinvertebrate	macroinvertebrates
NN_specie NN_diversity	NN_species NN_diversity
JJ_new NN_species	JJ_new NN_specie
NN_rainforest	NN_rain NN_forest
JJ_national NN_park	NP_national NP_park
NN_ecosystem	ecosystem
understory	understorey
NN_plant NN_species NN_richness	NN_plant NN_specie NN_richness
NN_plant NN_specie	NN_plant NN_species
dataset	datasets
NN_region	region
NN_species NN_richness	NP_species NN_richness
NN_species NN_richness	NN_specie NN_richness
NN_land-use	NN_land NN_use
biodiversity NN_hotspot	biodiversity hotspot
NN_diversity	diversity
NP_biological diversity	JJ_biological NN_diversity
NN_species NN_composition	NN_specie NN_composition
JJ_geographic NN_distribution	JJ_geographical NN_distribution
NN_specie NN_richness	NP_species NN_richness
JJ_hot NN_spot	NN_hotspot
species-level	NN_species NN_level
NN_sequence	sequenced
NN_colonization	colonisation
NN_bird NN_specie	NN_bird NN_species
JJ_climatic NN_change	NN_climate NN_change
NN_land-use NN_change	NN_land NN_use NN_change
NN_biosphere	biosphere
NN_organization	NN_organisation
NN_life NN_history	life-history
floodplains	floodplain
JJ_native NN_species	JJ_native NN_specie
effects	NN_effect
NN_crop	crops
type	NN_type
NP_novel NP_foods	NN_novel NN_food
NN_protein	protein
NN_safety NN_assessment	NP_safety NP_assessment
NN_novel CC_and JJ_familiar NN_food	NN_novel CC_or JJ_familiar NN_food
NN_bee apis mellifera	NN_bee apis mellifera NP_l
JJ_fundamental CC_and psycho-social NN_essential	JJ_fundamental CC_and JJ_psychosocial NN_essential
NN_evaluation IN_of DT_the NP_novel	NN_evaluation IN_of DT_the JJ_novel
spunta IN_with cry	spunta IN_with cry NN_v
chromatography-mass NN_spectrometry	NN_chromatography SY_/ JJ_mass NN_spectrometry
JJ_fundamental CC_and psycho-social	JJ_fundamental CC_and JJ_psychosocial
NN_calcium SY_/ potassium saltof	NN_calcium SY_/ NN_potassium NN_salt
alkaloids CC_and sesquiterpenes	alkaloids CC_and sesquiterpenes NP_on
NN_treatment IN_for non-hodgkin	NN_treatment IN_of non-hodgkin
NN_assessment IN_of NP_novel NP_foods	NN_assessment IN_of NN_novel NN_food
pyrophosphatase-based NN_detection NP_systems	pyrophosphatase-based NN_detection NP_systems .2
two-generation NN_reproduction NN_toxicity	two-generation JJ_reproductive NN_toxicity
NN_development IN_of DT_a JJ_novel	NP_development IN_of NP_novel
NP_novel NP_foods	JJ_novel NN_food
u.s. NP_food CC_and NP_drug	us NP_food CC_and NP_drug
u.s. NP_food CC_and NP_drug NP_administration	us NP_food CC_and NP_drug NP_administration
	10 NN_mg SY_/ kg
NN_p SY_< 0.05	NN_p SY_< 0.01
NN_mu NN_g SY_/ NN_g	NN_mu NN_g SY_/ kg
100 NN_mg SY_/ kg	10 NN_mg SY_/ kg
cytokines	cytokine
phosphatidylinositol-4 ,_, 5-bisphosphate	phosphatidylinositol CD_4 ,_, 5-bisphosphate
NN_cell NN_cycle NN_progression	cell-cycle NN_progression
leukocytes	leukocyte
NN_alpha NN_subunit	alpha-subunit
NN_catalyst	NN_catalysis
coactivator	co-activator
NN_antagonism	NN_antagonist
oligonucleotide	oligonucleotides
thymocyte	thymocytes
NN_carbon nanotubes	NN_carbon nanotube
phosphorylated	phosphorylates
NN_herpes JJ_simplex NN_virus	NN_herpes NN_simplex NN_virus
NN_gene IN_in drosophila	NN_gene IN_of drosophila
NN_selection NN_pressure	JJ_selective NN_pressure
JJ_reverse NN_transcriptase	NN_reverse NN_transcriptase
oscillatory	NN_oscillator
JJ_transcriptional NN_regulator	JJ_transcriptional NN_regulation
NN_regulation IN_of NN_cell	NN_regulator IN_of NN_cell
cofactors	cofactor
NN_polymerase	polymerases
JJ_thin NN_filament	JJ_thick NN_filament
active-site	JJ_active NN_site
NN_camp	camp
transduce	NN_transducer
NP_mhc NN_class NP_ii	NP_mhc NN_class NN_i
JJ_sensory NN_neurone	JJ_sensory NN_neuron
JJ_first NN_principle	first-principles
formation	NN_formation
bilayer	bilayers
NN_epitope	epitopes
JJ_consistent IN_with DT_the NN_hypothesis	JJ_consistent IN_with DT_this NN_hypothesis
mitogen	mitogens
telomeres	telomere
