NO_accident	accident
NO_action	action
NO_actualité	actualité
NO_actualité PR_du NO_jour	actualités PR_du NO_jour
actualités	NO_actualité
NO_administration	administration
NO_affaire	affaire
VE_avoir l NO_air	VE_avoir DE_le NO_air
DE_le	l
VE_avoir DE_le NO_impression	VE_avoir DE_le impréssion
NO_impression	impréssion
VE_avoir DE_le meme	VE_avoir DE_le memes
meme	memes
NO_amitié	amitiés
anti NO_douleur	anti-douleurs
anti NO_dépresseur	NO_antidépresseur
anti AD_inflammatoire	NO_anti-inflammatoire
VE_atteindre PR_de NO_maladie	VE_atteindre PR_de DE_un NO_maladie
aujourd hui	aujourdhui
aujourd'hui	aujourdhui
NO_ben	ben
AD_bien PR_ce NO_maladie	AD_bien DE_le NO_maladie
NO_bisou AD_bon	NO_bisou DE_mon
AD_bon apres NO_midi	AD_bon PR_après NO_midi
bonne NO_nuit	bonne nuit
nuit	NO_nuit
NA_bretagne	bretagne
brulure	brulures
c VE_être DE_le	c' VE_être DE_le
c	c'
NO_cause PR_de DE_mon	NO_cause PR_de DE_son
NO_citation	citation
VE_connaître PR_ce NO_maladie	VE_connaître DE_le NO_maladie
NO_coup PR_de NO_cur	coups PR_de NO_cur
coups	NO_coup
VE_dire KO_que c	VE_dire KO_que j
espere PR_de PR_tout NO_cur	VE_espérer PR_de PR_tout NO_cur
espere KO_que ca	espere KO_que DE_le
VE_faire PR_de AD_gros NO_bisou	VE_faire DE_un AD_gros NO_bisou
NO_fait PR_du AD_bien	VE_faire PR_du NO_bien
NA_fernande	fernande
NA_florette	florette
NA_forum	NO_forum
j PR_en VE_avoir AD_marre	j' PR_en VE_avoir AD_marre
j espere	j' espere
NA_lyon	lyon
NO_maladie PR_de chron	NO_maladie PR_de crohn
NO_merci d NO_avance	NO_merci PR_de NO_avance
NO_merci d NO_avance	merci PR_de NO_avance
AD_même symptomes	AD_même NO_symptôme
AD_petit NO_chouette	petite-chouette
AD_petit NO_chouette	petitechouette
petite-chouette	petitechouette
NO_premier	premiere
present	presente
NO_problème	probléme
qu PR_il n	qu PR_il AD_ne
AD_ne	n
reveille	reveiller
NO_semaine derniere	NO_semaine AD_dernier
derniere	AD_dernier
NO_sep	sep
NA_serge	NO_serge
sun chris	sun-chris
temoignage	temoignages
NO_traitement PR_de DE_le	NO_traitement PR_à DE_le
tégéline	tégélines
VE_voir DE_le NO_médecin	VE_voir DE_un NO_médecin
¬à ® â SY_ ¥ DE_le	¬à ® â SY_ ¥ â
NO_évolution PR_de PR_ce NO_maladie	NO_évolution PR_de DE_le NO_maladie
