spp	sp
rrna	rdna
NN_increase	NN_decrease
JJ_significant NN_decrease	JJ_significant NN_increase
rrna	rdna
nodularia	nodularin
NN_nitrate NN_concentration	NN_nitrogen NN_concentration
mumol	mol
macroalgae	microalgae
NP_marine macroalgae	JJ_marine microalgae
JJ_marine macroalgae	JJ_marine microalgae
JJ_marine macroalga	JJ_marine microalgae
macroalga	microalgae
macrocystis	microcystis
macroalga	microalga
JJ_inorganic NP_c	JJ_inorganic NP_n
JJ_green macroalgae	JJ_green microalgae
macroalga	microalgae
macroalga	microalga
NN_degree NP_c	NN_degree NP_n
NN_degree NP_c	NN_degree NP_s
NN_degree	degreesc
NP_australia	australis
macroalga	macroalgae
macroalga	macroalgal
macroalgae	macroalgal
macroalgae	microalgae
macroalgal	microalgal
NN_absorption	NN_adsorption
NN_injection	NN_infection
NN_planting	NN_planning
NN_linkage	NN_lineage
JJ_double-stranded NP_rna	JJ_double-stranded NN_dna
JJ_viral NP_rna	JJ_viral NN_dna
NP_rna NN_polymerase NN_i	NP_rna NN_polymerase NP_ii
NP_rna NN_polymerase NN_i	NP_rna NN_polymerase NP_iii
NP_rna NN_polymerase NP_ii	NP_rna NN_polymerase NP_iii
NN_mobility	NN_motility
JJ_molecular NN_mass	JJ_molecular NN_basis
NN_class NP_ii NN_molecule	NN_class NN_i NN_molecule
NN_nucleoside	NN_nucleotide
NN_deletion	NN_depletion
JJ_cyclic amp	JJ_cyclic gmp
NN_absorption	NN_adsorption
macroalgae	microalgae
macroalgal	microalgal
cd4+ NN_t NN_cell	cd8+ NN_t NN_cell
NN_friction	NN_fraction
JJ_transcriptional NN_repressor	JJ_transcriptional NN_repression
NP_hepatitis NP_b	NP_hepatitis NP_c
NN_topography	NN_tomography
5-bisphosphate	5-trisphosphate
JJ_cyclic gmp	JJ_cyclic NN_amp
NN_cytosine	cytokine
JJ_ribosomal NP_rna	JJ_ribosomal NN_dna
NN_chromatin	NN_chromatid
NN_polymerase NP_ii	NN_polymerase NP_iii
interleukin-1	interleukin-2
NN_repression	NN_regression
NP_hepatitis NP_c NN_virus	NP_hepatitis NP_b NN_virus
JJ_human NN_x NN_chromosome	JJ_human NN_chromosome
cd4 NN_antigen	cd8 NN_antigen
NN_network IN_with NN_neuron	NN_network IN_within NN_neuron
NN_effect IN_of	NN_effect IN_on
NN_case IN_in	NN_case VB_be
NN_adapter	NN_adaptor
JJ_evolutionary NN_game	JJ_evolutionary NN_rate
genomic	JJ_genetic
NN_interaction MD_can	NN_interaction NN_map
NN_interaction MD_can	NN_interaction MD_may
NN_interaction NN_map	NN_interaction MD_may
JJ_macroscopic	JJ_microscopic
NN_material	JJ_maternal
JJ_neural NN_network	JJ_neutral NN_network
JJ_neutral	JJ_neural
neural NP_networks	JJ_neutral NN_network
NN_projection	NN_protection
VV_regulate NN_gene NN_expression	VV_regulate DT_the NN_expression
NN_simulation	NN_stimulation
VV_suggest IN_that EX_there	VV_suggest IN_that PP_they

