n']_VE_poster PR_par ma_n	o']_VE_poster PR_par st_o
AD_social KO_et AD_économique	AD_social KO_et AD_écologique
AD_plus PR_de 3oc	AD_plus PR_de 2oc
AD_humain PR_de DE_le NO_nature	AD_humain KO_et PR_de DE_le NO_nature
NO_environnement AD_ne	NO_environnement une
conférence PR_du NO_part	conférence PR_du NO_partie
AD_européen PR_du 26.05.10	AD_européen PR_du 31.05.10
AD_européen PR_du 26.05.10	AD_européen PR_du 11.05.10
AD_européen PR_du 26.05.10	AD_européen PR_du 02.06.10
NO_développement AD_durable avec	NO_développement AD_durable des
NU_deux NO_tour	NU_deux NO_jour
NO_ministère PR_de DE_le ecologie	NO_ministère PR_de DE_le economie
VE_rendre PR_du NO_compte	VE_rendre AD_pas NO_compte
NO_développement AD_rural	développement AD_durable
NO_développement AD_rural	NO_développement AD_durable
NO_développement AD_durable un	NO_développement AD_durable dans
NO_développement AD_durable un	NO_développement AD_durable des
NO_environnement PR_de NO_travail	NO_environnement KO_et NO_travail
NO_aide AD_extérieur	NO_air AD_extérieur
NO_aide AD_illégal	NO_aire AD_illégal
NO_aide	NO_aire
NO_aide AD_supplémentaire	NO_air AD_supplémentaire
VE_être PR_en NO_danger	VE_être DE_un NO_danger
NO_million PR_de NO_tonne	NO_millier PR_de NO_tonne
AD_ne VE_concerner AD_pas	AD_ne VE_contenir AD_pas
NO_dizaine PR_de NO_millier	NO_dizaine PR_de NO_million
AD_ne VE_correspondre AD_pas	AD_ne VE_correspondre AD_plus
NO_article NU_l	NO_article 6
AD_publique une	AD_publique AD_ne
AD_encontre PR_de NO_personne	AD_encontre PR_du NO_personne
NO_partage	partagez
courriel	NO_courrier
VE_devoir VE_progresser PR_de 6	VE_devoir VE_progresser PR_de 5 SY_%
NO_incitation	NO_invitation
NO_mesure PR_de NO_précaution	NO_mesure PR_de NO_prévention
recherche SY_&	NO_recherche m
VE_être AD_pas DE_le AD_même	VE_être PR_dans DE_le AD_même
NO_article NU_l	NO_article 4
NO_environnement AD_ne	environnement un
VE_consulter DE_le NO_note	VE_consulter DE_le NO_site
AD_nouveau NO_étude	AD_nouveau NO_étape
capital	NO_capitale
VE_falloir AD_encore	VE_faire AD_encore
VE_être PR_en NO_fait	VE_être DE_un NO_fait
VE_faire AD_tout	VE_falloir AD_tout
VE_boucher DE_le NO_puits	VE_boucher DE_le NO_fuite
% PR_du NO_salaire_% des salaires	% PR_du NO_salarié_% des salariés
+_.line1 +	+_.line2 +
+_.line1 +	+_.line3 +
+_.line2 +	+_.line3 +
milliard PR_de NO_euro_1 milliards de euros	million PR_de NO_euro_1 millions de euros
milliard PR_de NO_euro_10 milliards de euros	million PR_de NO_euro_10 millions de euros
milliard PR_de NO_euro_2 milliards de euros	million PR_de NO_euro_2 millions de euros
@ord@ en_2009. en	@ord@ un_2009. un
@ord@ un_2009. un	@ord@ une_2009. une
